Symbol,Date,Open,High,Low,Close,Adj Close,Volume
W,12/22/2017,78.889999,81.160004,77.889999,79.529999,79.529999,1429600
W,12/26/2017,80.080002,81.68,79.029999,81.279999,81.279999,1443100
W,12/27/2017,81.660004,82.504997,80.849998,81.099998,81.099998,1003400
W,12/28/2017,80.860001,81.510002,80.120003,80.910004,80.910004,596600
W,12/29/2017,81,81.459999,79.800003,80.269997,80.269997,964300
W,1/2/2018,80.050003,81.220001,79.269997,81.019997,81.019997,2045100
W,1/3/2018,78.5,79.370003,75.75,78.449997,78.449997,2693900
W,1/4/2018,78.510002,79.510002,76.260002,79.300003,79.300003,1202300
W,1/5/2018,79.959999,81.059998,78.339996,80.75,80.75,1245900
W,1/8/2018,81.089996,83.940002,81,83.050003,83.050003,1591200
W,1/9/2018,83.010002,83.779999,81.000999,81.25,81.25,1231500
W,1/10/2018,80.970001,83.029999,80.669998,82.959999,82.959999,1216500
W,1/11/2018,83,85.650002,83,85.389999,85.389999,1177300
W,1/12/2018,85.07,88.059998,84.809998,85.580002,85.580002,1135600
W,1/16/2018,86.589996,87.720001,84.330002,84.5,84.5,1115900
W,1/17/2018,84.690002,86.327003,83.779999,85.559998,85.559998,989800
W,1/18/2018,85.959999,86.207001,84.989998,85.559998,85.559998,680800
W,1/19/2018,85.959999,88.610001,85.720001,87.839996,87.839996,988500
W,1/22/2018,87.25,91.489998,87.170998,90.639999,90.639999,2507900
W,1/23/2018,88.010002,90.410004,87.550003,90.18,90.18,1259500
W,1/24/2018,91.360001,92.519997,87.839996,90.839996,90.839996,1292300
W,1/25/2018,91.68,92.644997,90.010002,91.160004,91.160004,908600
W,1/26/2018,91.830002,93.550003,91.110001,93.300003,93.300003,922300
W,1/29/2018,93.300003,94.949997,92.660004,94.360001,94.360001,1150600
W,1/30/2018,90.900002,94.18,90.900002,92.980003,92.980003,849000
W,1/31/2018,92.5,94,91.349998,92.010002,92.010002,715900
W,2/1/2018,90.879997,93.287003,90.040001,91.730003,91.730003,869000
W,2/2/2018,91,92.110001,89.889999,90.779999,90.779999,1197000
W,2/5/2018,89.370003,94.360001,89.019997,89.269997,89.269997,1619000
W,2/6/2018,87.779999,92.114998,87.760002,91.989998,91.989998,1047200
W,2/7/2018,91.5,93.480003,90.57,91.129997,91.129997,1186200
W,2/8/2018,91.510002,92.470001,88.855003,88.980003,88.980003,933600
W,2/9/2018,90,91.790001,85.57,90.68,90.68,1398500
